date,year,month,day,weekofyear,weekday,is_weekend,is_holiday,temperature,rain_mm,store_id,country,city,channel,latitude,longitude,sku_id,sku_name,category,subcategory,brand,units_sold,list_price,discount_pct,promo_flag,gross_sales,net_sales,stock_on_hand,stock_out_flag,lead_time_days,supplier_id,purchase_cost,margin_pct
2022-05-19,2022,5,19,20,3,0,0,11.76,2.12,STORE0003,Italy,Milan,Supermarket,45.44037,9.20313,SKU0039,BrandC Biscuits,Snacks,Biscuits,BrandC,13,11.8,0.0,0,153.4,153.4,290,0,8,S037,5.64,0.522
2021-05-13,2021,5,13,19,3,0,0,4.13,1.49,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0005,BrandE Soda,Beverages,Soda,BrandE,67,9.42,0.0,0,631.14,631.14,292,0,7,S017,4.46,0.527
2023-08-20,2023,8,20,33,6,1,0,15.32,2.11,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0050,BrandB Yogurt,Dairy,Yogurt,BrandB,32,1.36,0.0,0,43.52,43.52,247,0,4,S005,1.01,0.258
2021-05-09,2021,5,9,18,6,1,0,10.76,1.2,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0041,BrandE Biscuits,Snacks,Biscuits,BrandE,201,13.08,0.15,1,2629.08,2234.72,311,0,6,S044,9.11,0.154
2021-10-27,2021,10,27,43,2,0,0,15.07,1.58,STORE0006,France,Paris,Hypermarket,48.87587,2.36046,SKU0070,BrandD Detergent,Home Care,Detergent,BrandD,108,6.09,0.0,0,657.72,657.72,242,0,9,S039,3.49,0.427
2022-10-29,2022,10,29,43,5,1,0,15.33,1.26,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0068,BrandB Detergent,Home Care,Detergent,BrandB,93,14.2,0.3,1,1320.6,924.42,301,0,4,S005,10.41,-0.033
2022-07-07,2022,7,7,27,3,0,0,7.32,2.74,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0003,BrandC Soda,Beverages,Soda,BrandC,26,3.18,0.0,0,82.68,82.68,421,0,6,S032,2.36,0.258
2023-05-14,2023,5,14,19,6,1,0,15.51,0.36,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0036,BrandF Chocolate,Snacks,Chocolate,BrandF,69,11.81,0.3,1,814.89,570.42,318,0,8,S045,8.19,0.007
2022-05-05,2022,5,5,18,3,0,0,8.92,2.66,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0014,BrandB Water,Beverages,Water,BrandB,47,3.8,0.0,0,178.6,178.6,169,0,6,S001,2.77,0.27
2021-03-05,2021,3,5,9,4,0,0,13.17,0.82,STORE0004,Germany,Berlin,Hypermarket,52.50051,13.42074,SKU0008,BrandB Juice,Beverages,Juice,BrandB,9,3.55,0.0,0,31.95,31.95,286,0,3,S022,2.13,0.4
2023-12-29,2023,12,29,52,4,0,0,15.16,5.27,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0043,BrandA Nuts,Snacks,Nuts,BrandA,31,5.35,0.0,0,165.85,165.85,282,0,6,S012,3.17,0.408
2022-10-25,2022,10,25,43,1,0,0,9.09,0.54,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0065,BrandE Cheese,Dairy,Cheese,BrandE,51,1.1,0.0,0,56.1,56.1,309,0,7,S013,0.56,0.487
2023-03-21,2023,3,21,12,1,0,0,15.0,3.17,STORE0003,Italy,Milan,Supermarket,45.44037,9.20313,SKU0012,BrandF Juice,Beverages,Juice,BrandF,39,5.09,0.0,0,198.51,198.51,211,0,5,S022,3.77,0.26
2023-04-28,2023,4,28,17,4,0,0,16.37,0.26,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0018,BrandF Water,Beverages,Water,BrandF,85,14.52,0.0,0,1234.2,1234.2,368,0,4,S027,7.06,0.513
2023-10-23,2023,10,23,43,0,0,0,5.24,7.1,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0086,BrandB Shampoo,Personal Care,Shampoo,BrandB,4,10.49,0.0,0,41.96,41.96,340,0,7,S037,5.75,0.452
2023-09-23,2023,9,23,38,5,1,0,18.29,0.13,STORE0004,Germany,Berlin,Hypermarket,52.50051,13.42074,SKU0040,BrandD Biscuits,Snacks,Biscuits,BrandD,35,6.02,0.0,0,210.7,210.7,363,0,6,S045,3.53,0.414
2021-10-15,2021,10,15,41,4,0,0,11.01,1.22,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0087,BrandC Shampoo,Personal Care,Shampoo,BrandC,19,8.17,0.0,0,155.23,155.23,493,0,10,S039,5.4,0.338
2021-07-04,2021,7,4,26,6,1,0,13.46,4.01,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0021,BrandC Energy drink,Beverages,Energy drink,BrandC,134,2.71,0.0,0,363.14,363.14,175,0,9,S031,1.95,0.282
2022-11-28,2022,11,28,48,0,0,0,10.9,11.33,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0095,BrandE Soap,Personal Care,Soap,BrandE,25,8.42,0.0,0,210.5,210.5,212,0,8,S040,5.36,0.363
2021-04-20,2021,4,20,16,1,0,0,17.41,4.13,STORE0013,Netherlands,Amsterdam,Convenience,52.36231,4.9585,SKU0014,BrandB Water,Beverages,Water,BrandB,29,3.8,0.0,0,110.2,110.2,255,0,7,S034,1.83,0.517
2021-03-05,2021,3,5,9,4,0,0,13.17,0.82,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0051,BrandC Yogurt,Dairy,Yogurt,BrandC,59,1.44,0.0,0,84.96,84.96,425,0,5,S016,0.65,0.549
2023-12-08,2023,12,8,49,4,0,0,13.45,4.04,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0078,BrandF Softener,Home Care,Softener,BrandF,19,14.8,0.0,0,281.2,281.2,224,0,5,S054,10.03,0.322
2023-10-17,2023,10,17,42,1,0,0,12.44,0.67,STORE0010,Italy,Milan,E-commerce,45.46266,9.19682,SKU0064,BrandD Cheese,Dairy,Cheese,BrandD,87,12.45,0.0,0,1083.15,1083.15,414,0,7,S027,8.29,0.334
2021-02-05,2021,2,5,5,4,0,0,9.05,1.19,STORE0004,Germany,Berlin,Hypermarket,52.50051,13.42074,SKU0025,BrandA Chips,Snacks,Chips,BrandA,18,8.65,0.0,0,155.7,155.7,304,0,5,S044,4.78,0.447
2021-12-12,2021,12,12,49,6,1,0,13.95,0.21,STORE0006,France,Paris,Hypermarket,48.87587,2.36046,SKU0039,BrandC Biscuits,Snacks,Biscuits,BrandC,19,11.8,0.0,0,224.2,224.2,502,0,7,S042,7.39,0.373
2021-02-20,2021,2,20,7,5,1,0,16.98,5.42,STORE0011,Italy,Rome,Hypermarket,41.90833,12.51294,SKU0098,BrandB Toothpaste,Personal Care,Toothpaste,BrandB,41,5.75,0.0,0,235.75,235.75,299,0,10,S051,2.72,0.527
2023-11-25,2023,11,25,47,5,1,0,15.05,1.7,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0064,BrandD Cheese,Dairy,Cheese,BrandD,100,12.45,0.0,0,1245.0,1245.0,463,0,4,S056,6.52,0.476
2021-09-12,2021,9,12,36,6,1,0,10.17,3.25,STORE0013,Netherlands,Amsterdam,Convenience,52.36231,4.9585,SKU0068,BrandB Detergent,Home Care,Detergent,BrandB,26,14.2,0.0,0,369.2,369.2,407,0,4,S052,7.77,0.453
2022-02-24,2022,2,24,8,3,0,0,7.42,2.63,STORE0006,France,Paris,Hypermarket,48.87587,2.36046,SKU0038,BrandB Biscuits,Snacks,Biscuits,BrandB,54,10.9,0.0,0,588.6,588.6,244,0,5,S026,5.04,0.538
2021-07-07,2021,7,7,27,2,0,0,14.35,1.04,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0039,BrandC Biscuits,Snacks,Biscuits,BrandC,15,11.8,0.0,0,177.0,177.0,338,0,8,S009,8.81,0.253
2021-06-21,2021,6,21,25,0,0,0,15.68,2.22,STORE0009,Spain,Barcelona,E-commerce,41.36731,2.15708,SKU0009,BrandC Juice,Beverages,Juice,BrandC,106,5.26,0.0,0,557.56,557.56,350,0,5,S014,2.58,0.51
2023-11-03,2023,11,3,44,4,0,0,10.22,0.35,STORE0007,Spain,Barcelona,Supermarket,41.40154,2.21134,SKU0003,BrandC Soda,Beverages,Soda,BrandC,18,3.18,0.0,0,57.24,57.24,174,0,8,S016,1.8,0.433
2021-12-19,2021,12,19,50,6,1,0,14.07,2.86,STORE0004,Germany,Berlin,Hypermarket,52.50051,13.42074,SKU0028,BrandD Chips,Snacks,Chips,BrandD,223,9.37,0.0,0,2089.51,2089.51,368,0,5,S025,5.75,0.387
2022-08-18,2022,8,18,33,3,0,0,11.18,1.88,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0003,BrandC Soda,Beverages,Soda,BrandC,25,3.18,0.0,0,79.5,79.5,289,0,7,S025,1.57,0.505
2021-01-26,2021,1,26,4,1,0,0,12.6,1.0,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0051,BrandC Yogurt,Dairy,Yogurt,BrandC,18,1.44,0.0,0,25.92,25.92,185,1,7,S013,0.92,0.361
2022-07-20,2022,7,20,29,2,0,0,15.93,0.51,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0038,BrandB Biscuits,Snacks,Biscuits,BrandB,93,10.9,0.0,0,1013.7,1013.7,88,0,4,S049,6.08,0.442
2021-03-26,2021,3,26,12,4,0,0,12.99,2.04,STORE0003,Italy,Milan,Supermarket,45.44037,9.20313,SKU0045,BrandC Nuts,Snacks,Nuts,BrandC,41,13.42,0.1,1,550.22,495.2,269,0,6,S008,8.26,0.285
2022-01-17,2022,1,17,3,0,0,0,14.83,4.4,STORE0009,Spain,Barcelona,E-commerce,41.36731,2.15708,SKU0086,BrandB Shampoo,Personal Care,Shampoo,BrandB,14,10.49,0.15,1,146.86,124.83,316,0,7,S007,6.4,0.24
2022-11-06,2022,11,6,44,6,1,0,12.68,0.94,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0044,BrandB Nuts,Snacks,Nuts,BrandB,66,11.21,0.0,0,739.86,739.86,283,0,3,S054,7.16,0.361
2022-05-13,2022,5,13,19,4,0,0,12.81,0.7,STORE0012,Spain,Madrid,E-commerce,40.41706,-3.67473,SKU0005,BrandE Soda,Beverages,Soda,BrandE,59,9.42,0.0,0,555.78,555.78,399,0,6,S029,5.05,0.464
2023-09-25,2023,9,25,39,0,0,0,13.59,0.19,STORE0003,Italy,Milan,Supermarket,45.44037,9.20313,SKU0025,BrandA Chips,Snacks,Chips,BrandA,21,8.65,0.0,0,181.65,181.65,268,0,5,S009,4.16,0.519
2021-09-24,2021,9,24,38,4,0,0,14.55,6.19,STORE0009,Spain,Barcelona,E-commerce,41.36731,2.15708,SKU0047,BrandE Nuts,Snacks,Nuts,BrandE,58,11.65,0.0,0,675.7,675.7,235,0,4,S024,5.85,0.498
2021-10-01,2021,10,1,39,4,0,0,11.55,1.7,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0055,BrandA Milk,Dairy,Milk,BrandA,4,4.2,0.0,0,16.8,16.8,219,1,8,S010,2.72,0.352
2021-08-03,2021,8,3,31,1,0,0,8.9,0.05,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0051,BrandC Yogurt,Dairy,Yogurt,BrandC,70,1.44,0.0,0,100.8,100.8,389,0,9,S005,0.77,0.468
2022-09-29,2022,9,29,39,3,0,0,11.81,2.31,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0007,BrandA Juice,Beverages,Juice,BrandA,18,12.65,0.0,0,227.7,227.7,275,0,5,S050,7.01,0.446
2023-07-19,2023,7,19,29,2,0,0,9.32,1.74,STORE0010,Italy,Milan,E-commerce,45.46266,9.19682,SKU0070,BrandD Detergent,Home Care,Detergent,BrandD,113,6.09,0.0,0,688.17,688.17,285,0,9,S016,4.11,0.325
2021-02-23,2021,2,23,8,1,0,0,10.83,4.37,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0025,BrandA Chips,Snacks,Chips,BrandA,24,8.65,0.0,0,207.6,207.6,177,0,5,S006,5.01,0.421
2023-09-01,2023,9,1,35,4,0,0,4.89,1.84,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0086,BrandB Shampoo,Personal Care,Shampoo,BrandB,11,10.49,0.0,0,115.39,115.39,284,0,3,S040,7.18,0.316
2022-12-01,2022,12,1,48,3,0,0,12.86,3.6,STORE0007,Spain,Barcelona,Supermarket,41.40154,2.21134,SKU0079,BrandA Cleaner,Home Care,Cleaner,BrandA,110,10.41,0.1,1,1145.1,1030.59,331,0,6,S010,7.22,0.206
2021-09-01,2021,9,1,35,2,0,0,10.73,1.58,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0037,BrandA Biscuits,Snacks,Biscuits,BrandA,72,1.08,0.0,0,77.76,77.76,434,0,7,S047,0.61,0.431
2023-08-27,2023,8,27,34,6,1,0,19.66,4.99,STORE0003,Italy,Milan,Supermarket,45.44037,9.20313,SKU0006,BrandF Soda,Beverages,Soda,BrandF,140,1.29,0.0,0,180.6,180.6,223,0,4,S006,0.69,0.468
2023-06-19,2023,6,19,25,0,0,0,19.71,2.05,STORE0007,Spain,Barcelona,Supermarket,41.40154,2.21134,SKU0081,BrandC Cleaner,Home Care,Cleaner,BrandC,35,6.15,0.0,0,215.25,215.25,304,0,8,S032,4.0,0.35
2023-11-08,2023,11,8,45,2,0,0,12.47,0.72,STORE0006,France,Paris,Hypermarket,48.87587,2.36046,SKU0066,BrandF Cheese,Dairy,Cheese,BrandF,36,6.84,0.0,0,246.24,246.24,195,0,7,S022,3.89,0.432
2022-05-30,2022,5,30,22,0,0,0,16.78,1.21,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0018,BrandF Water,Beverages,Water,BrandF,39,14.52,0.0,0,566.28,566.28,330,0,9,S006,6.59,0.546
2022-11-07,2022,11,7,45,0,0,0,8.3,0.61,STORE0011,Italy,Rome,Hypermarket,41.90833,12.51294,SKU0012,BrandF Juice,Beverages,Juice,BrandF,97,5.09,0.3,1,493.73,345.61,351,0,5,S027,2.84,0.142
2023-05-05,2023,5,5,18,4,0,0,9.53,1.71,STORE0007,Spain,Barcelona,Supermarket,41.40154,2.21134,SKU0099,BrandC Toothpaste,Personal Care,Toothpaste,BrandC,90,11.16,0.0,0,1004.4,1004.4,271,0,7,S004,5.28,0.527
2021-02-21,2021,2,21,7,6,1,0,12.31,5.95,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0043,BrandA Nuts,Snacks,Nuts,BrandA,40,5.35,0.0,0,214.0,214.0,346,0,7,S022,3.21,0.4
2023-07-18,2023,7,18,29,1,0,0,13.59,4.76,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0006,BrandF Soda,Beverages,Soda,BrandF,129,1.29,0.15,1,166.41,141.45,372,0,7,S012,0.59,0.395
2022-02-10,2022,2,10,6,3,0,0,12.3,4.49,STORE0004,Germany,Berlin,Hypermarket,52.50051,13.42074,SKU0063,BrandC Cheese,Dairy,Cheese,BrandC,50,4.19,0.0,0,209.5,209.5,338,0,5,S008,2.08,0.503
2022-01-03,2022,1,3,1,0,0,0,8.92,5.37,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0012,BrandF Juice,Beverages,Juice,BrandF,23,5.09,0.0,0,117.07,117.07,275,0,6,S029,3.66,0.28
2021-09-07,2021,9,7,36,1,0,0,10.91,2.87,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0070,BrandD Detergent,Home Care,Detergent,BrandD,79,6.09,0.0,0,481.11,481.11,366,0,9,S009,3.85,0.369
2022-07-01,2022,7,1,26,4,0,0,12.49,0.15,STORE0011,Italy,Rome,Hypermarket,41.90833,12.51294,SKU0031,BrandA Chocolate,Snacks,Chocolate,BrandA,89,6.44,0.1,1,573.16,515.84,258,0,6,S015,3.83,0.306
2021-01-13,2021,1,13,2,2,0,0,7.34,2.31,STORE0008,Austria,Vienna,Hypermarket,48.20329,16.35873,SKU0030,BrandF Chips,Snacks,Chips,BrandF,33,1.63,0.0,0,53.79,53.79,208,0,8,S060,1.17,0.283
2022-10-03,2022,10,3,40,0,0,0,15.44,4.76,STORE0013,Netherlands,Amsterdam,Convenience,52.36231,4.9585,SKU0057,BrandC Milk,Dairy,Milk,BrandC,4,14.02,0.0,0,56.08,56.08,258,1,6,S029,10.51,0.251
2023-10-17,2023,10,17,42,1,0,0,12.44,0.67,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0017,BrandE Water,Beverages,Water,BrandE,125,1.91,0.0,0,238.75,238.75,448,0,5,S046,1.22,0.363
2021-07-23,2021,7,23,29,4,0,0,14.31,6.84,STORE0003,Italy,Milan,Supermarket,45.44037,9.20313,SKU0007,BrandA Juice,Beverages,Juice,BrandA,29,12.65,0.0,0,366.85,366.85,353,0,4,S006,8.78,0.306
2023-11-19,2023,11,19,46,6,1,0,13.41,0.69,STORE0003,Italy,Milan,Supermarket,45.44037,9.20313,SKU0071,BrandE Detergent,Home Care,Detergent,BrandE,40,14.47,0.0,0,578.8,578.8,437,0,7,S013,7.97,0.449
2022-03-12,2022,3,12,10,5,1,0,12.78,0.47,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0086,BrandB Shampoo,Personal Care,Shampoo,BrandB,7,10.49,0.0,0,73.43,73.43,309,0,9,S049,5.86,0.442
2023-07-19,2023,7,19,29,2,0,0,9.32,1.74,STORE0003,Italy,Milan,Supermarket,45.44037,9.20313,SKU0052,BrandD Yogurt,Dairy,Yogurt,BrandD,32,5.4,0.0,0,172.8,172.8,296,0,8,S020,3.28,0.393
2021-12-06,2021,12,6,49,0,0,0,14.6,5.38,STORE0006,France,Paris,Hypermarket,48.87587,2.36046,SKU0046,BrandD Nuts,Snacks,Nuts,BrandD,30,2.67,0.0,0,80.1,80.1,229,0,5,S057,1.55,0.419
2022-10-02,2022,10,2,39,6,1,0,6.37,1.43,STORE0009,Spain,Barcelona,E-commerce,41.36731,2.15708,SKU0025,BrandA Chips,Snacks,Chips,BrandA,33,8.65,0.0,0,285.45,285.45,304,0,7,S052,6.36,0.265
2021-11-12,2021,11,12,45,4,0,0,11.21,8.22,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0093,BrandC Soap,Personal Care,Soap,BrandC,34,4.61,0.0,0,156.74,156.74,383,0,6,S048,3.45,0.252
2021-06-14,2021,6,14,24,0,0,0,15.19,2.58,STORE0003,Italy,Milan,Supermarket,45.44037,9.20313,SKU0030,BrandF Chips,Snacks,Chips,BrandF,46,1.63,0.0,0,74.98,74.98,397,0,5,S015,0.91,0.441
2023-05-29,2023,5,29,22,0,0,0,20.83,1.86,STORE0010,Italy,Milan,E-commerce,45.46266,9.19682,SKU0018,BrandF Water,Beverages,Water,BrandF,111,14.52,0.0,0,1611.72,1611.72,332,0,6,S056,8.55,0.411
2021-08-21,2021,8,21,33,5,1,0,14.1,3.65,STORE0007,Spain,Barcelona,Supermarket,41.40154,2.21134,SKU0061,BrandA Cheese,Dairy,Cheese,BrandA,100,12.3,0.0,0,1230.0,1230.0,249,0,7,S054,5.55,0.549
2022-09-07,2022,9,7,36,2,0,0,11.01,1.46,STORE0013,Netherlands,Amsterdam,Convenience,52.36231,4.9585,SKU0001,BrandA Soda,Beverages,Soda,BrandA,32,6.24,0.0,0,199.68,199.68,136,0,7,S021,4.52,0.276
2021-01-09,2021,1,9,1,5,1,0,9.56,0.26,STORE0004,Germany,Berlin,Hypermarket,52.50051,13.42074,SKU0102,BrandF Toothpaste,Personal Care,Toothpaste,BrandF,105,3.26,0.0,0,342.3,342.3,350,0,5,S019,1.68,0.486
2021-09-11,2021,9,11,36,5,1,0,17.19,4.38,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0074,BrandB Softener,Home Care,Softener,BrandB,36,9.53,0.0,0,343.08,343.08,287,0,6,S043,5.54,0.418
2021-01-05,2021,1,5,1,1,0,0,11.16,1.77,STORE0013,Netherlands,Amsterdam,Convenience,52.36231,4.9585,SKU0063,BrandC Cheese,Dairy,Cheese,BrandC,17,4.19,0.0,0,71.23,71.23,427,0,7,S046,3.13,0.253
2023-08-20,2023,8,20,33,6,1,0,15.32,2.11,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0086,BrandB Shampoo,Personal Care,Shampoo,BrandB,13,10.49,0.0,0,136.37,136.37,207,0,4,S048,4.85,0.538
2023-10-03,2023,10,3,40,1,0,0,16.08,3.8,STORE0007,Spain,Barcelona,Supermarket,41.40154,2.21134,SKU0047,BrandE Nuts,Snacks,Nuts,BrandE,46,11.65,0.0,0,535.9,535.9,130,0,7,S057,5.86,0.497
2022-02-15,2022,2,15,7,1,0,0,16.14,1.72,STORE0013,Netherlands,Amsterdam,Convenience,52.36231,4.9585,SKU0063,BrandC Cheese,Dairy,Cheese,BrandC,33,4.19,0.0,0,138.27,138.27,362,0,7,S051,2.19,0.477
2023-07-11,2023,7,11,28,1,0,0,12.73,3.42,STORE0007,Spain,Barcelona,Supermarket,41.40154,2.21134,SKU0081,BrandC Cleaner,Home Care,Cleaner,BrandC,63,6.15,0.0,0,387.45,387.45,400,0,5,S013,3.11,0.494
2023-04-29,2023,4,29,17,5,1,0,15.15,2.72,STORE0004,Germany,Berlin,Hypermarket,52.50051,13.42074,SKU0078,BrandF Softener,Home Care,Softener,BrandF,8,14.8,0.0,0,118.4,118.4,309,0,7,S049,7.07,0.522
2023-03-28,2023,3,28,13,1,0,0,19.23,3.54,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0064,BrandD Cheese,Dairy,Cheese,BrandD,105,12.45,0.0,0,1307.25,1307.25,361,0,8,S030,6.81,0.453
2023-08-13,2023,8,13,32,6,1,0,8.63,2.77,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0012,BrandF Juice,Beverages,Juice,BrandF,70,5.09,0.0,0,356.3,356.3,262,0,6,S025,3.76,0.261
2022-05-29,2022,5,29,21,6,1,0,15.15,1.94,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0003,BrandC Soda,Beverages,Soda,BrandC,11,3.18,0.0,0,34.98,34.98,304,0,5,S040,1.46,0.541
2022-02-05,2022,2,5,5,5,1,0,10.57,4.81,STORE0003,Italy,Milan,Supermarket,45.44037,9.20313,SKU0045,BrandC Nuts,Snacks,Nuts,BrandC,74,13.42,0.0,0,993.08,993.08,199,0,8,S002,6.34,0.527
2022-10-14,2022,10,14,41,4,0,0,19.71,3.31,STORE0007,Spain,Barcelona,Supermarket,41.40154,2.21134,SKU0023,BrandE Energy drink,Beverages,Energy drink,BrandE,29,4.62,0.0,0,133.98,133.98,427,0,7,S013,2.99,0.353
2023-09-05,2023,9,5,36,1,0,0,18.53,1.96,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0051,BrandC Yogurt,Dairy,Yogurt,BrandC,57,1.44,0.0,0,82.08,82.08,396,0,6,S050,0.94,0.345
2021-02-04,2021,2,4,5,3,0,0,11.8,3.36,STORE0002,Italy,Rome,Supermarket,41.94012,12.50588,SKU0074,BrandB Softener,Home Care,Softener,BrandB,41,9.53,0.0,0,390.73,390.73,191,0,4,S032,6.07,0.363
2022-08-06,2022,8,6,31,5,1,0,11.27,3.39,STORE0013,Netherlands,Amsterdam,Convenience,52.36231,4.9585,SKU0001,BrandA Soda,Beverages,Soda,BrandA,113,6.24,0.0,0,705.12,705.12,264,0,7,S051,3.1,0.503
2023-12-03,2023,12,3,48,6,1,0,11.12,3.89,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0012,BrandF Juice,Beverages,Juice,BrandF,167,5.09,0.3,1,850.03,595.02,394,0,4,S059,2.88,0.134
2022-11-03,2022,11,3,44,3,0,0,13.34,3.18,STORE0005,Poland,Warsaw,Hypermarket,52.25287,20.99579,SKU0071,BrandE Detergent,Home Care,Detergent,BrandE,22,14.47,0.0,0,318.34,318.34,207,0,3,S019,6.73,0.535
2022-09-12,2022,9,12,37,0,0,0,13.41,3.6,STORE0003,Italy,Milan,Supermarket,45.44037,9.20313,SKU0051,BrandC Yogurt,Dairy,Yogurt,BrandC,65,1.44,0.0,0,93.6,93.6,211,0,7,S006,0.7,0.515
2023-10-28,2023,10,28,43,5,1,0,12.83,3.19,STORE0006,France,Paris,Hypermarket,48.87587,2.36046,SKU0009,BrandC Juice,Beverages,Juice,BrandC,7,5.26,0.0,0,36.82,36.82,178,1,4,S027,2.5,0.524
